id;description;file_name;period_from;period_to;contacts_file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Frozen demand-driven;web services District;2020-08-25;2020-08-26;39863;../fake-data/blob/hipster.png;image/png;false;true;Brand programming
2;National Accounts multi-byte;Secured Iraqi Dinar;2020-08-26;2020-08-25;21731;../fake-data/blob/hipster.png;image/png;true;true;tertiary Savings Account
3;Throughway Down-sized;Intranet;2020-08-26;2020-08-26;40352;../fake-data/blob/hipster.png;image/png;false;false;Future
4;azure Cotton;XSS Barbados Business-focused;2020-08-25;2020-08-26;80280;../fake-data/blob/hipster.png;image/png;true;true;evolve Chips mindshare
5;24/7;Configuration partnerships Money Market Account;2020-08-26;2020-08-25;28963;../fake-data/blob/hipster.png;image/png;false;false;incubate
6;Awesome Soft Cheese Tools Berkshire;Mission navigate Zimbabwe;2020-08-25;2020-08-26;99781;../fake-data/blob/hipster.png;image/png;false;true;Incredible Movies global
7;Handcrafted Metal Ball maroon SSL;Officer convergence Executive;2020-08-25;2020-08-25;92686;../fake-data/blob/hipster.png;image/png;false;false;calculating feed
8;neural Handmade Jewelery;Chief;2020-08-26;2020-08-26;39261;../fake-data/blob/hipster.png;image/png;true;true;Belgium Home Loan Account
9;CFA Franc BEAC Tuna;connecting Tasty;2020-08-26;2020-08-26;14490;../fake-data/blob/hipster.png;image/png;false;true;Orchestrator Planner
10;Checking Account Keyboard;Rubber Borders;2020-08-25;2020-08-26;99140;../fake-data/blob/hipster.png;image/png;false;false;Ergonomic Metal Computer Summit Savings Account
